Window,Normalization,Dimensions,SimLex-Correlation,SimLex-Coverage,WordSim-Correlation,WordSim-Coverage,Analogy-Accuracy,Clustering-Silhouette,Method,Analogy-Total,Configuration
4.0,ppmi,50,0.5567120513437213,0.5011097226934418,0.7665964600451773,0.4338421882117659,0.3333333333333333,0.22052155,Co-occurrence,,
4.0,rownormalize,100,0.5342985464865407,0.9695406444718584,0.9274626059373734,0.4448409009879585,0.3333333333333333,0.1290994,Co-occurrence,,
4.0,rownormalize,200,0.3738034113252186,0.3607653769553576,0.576404421811022,0.8041835213537316,0.3333333333333333,0.09263675,Co-occurrence,,
4.0,rownormalize,300,0.3759520433199687,0.7724098066848102,0.8958999892673953,0.2377720395379182,0.3333333333333333,-0.015989829,Co-occurrence,,
4.0,rownormalize,50,0.2650087978540916,0.9883914108055046,0.6805053996692513,0.9012872914649512,0.0,0.115324736,Co-occurrence,,
4.0,tfidf,100,0.8857174907680255,0.7751514498301129,0.3372424654875979,0.2822342055523864,0.3333333333333333,0.051630687,Co-occurrence,,
4.0,tfidf,200,0.7107360008319556,0.9206347741852255,0.1863339524167749,0.7332374088292963,0.3333333333333333,0.59907514,Co-occurrence,,
4.0,tfidf,300,0.8220054089057451,0.0764031965062957,0.5235148789030867,0.5668812172035896,0.3333333333333333,0.14351241,Co-occurrence,,
4.0,tfidf,50,0.2487603671549777,0.28425959565173,0.7551064582570006,0.9656693676299613,0.0,0.75088286,Co-occurrence,,
6.0,ppmi,100,0.6408288456507406,0.2174333105218194,0.9224266785855546,0.1633322827886605,0.3333333333333333,0.10426939,Co-occurrence,,
6.0,ppmi,200,0.9632645983057472,0.625520611134094,0.5095046422451699,0.264108314637722,0.3333333333333333,0.046712495,Co-occurrence,,
6.0,ppmi,300,0.713718229070063,0.3382369312248185,0.7822425924472721,0.2620975776873211,0.3333333333333333,0.0722602,Co-occurrence,,
6.0,ppmi,50,0.681874865260231,0.6857839971339129,0.1715901177692999,0.4620815722451674,0.3333333333333333,0.20533416,Co-occurrence,,
6.0,rownormalize,100,0.4013340574710414,0.0138196014533691,0.9013041093297508,0.2647079752256671,0.3333333333333333,0.010318194,Co-occurrence,,
6.0,rownormalize,200,0.6609711228677082,0.420111171189268,0.1457287243098781,0.0974113646698165,0.3333333333333333,-0.0017722218,Co-occurrence,,
6.0,rownormalize,300,0.2959542730271316,0.8589296183481281,0.1245515553091179,0.6880955015166779,0.3333333333333333,0.048505884,Co-occurrence,,
6.0,rownormalize,50,0.5495113792002627,0.0545836492339648,0.8472092231819728,0.9440028985547376,0.0,0.036991373,Co-occurrence,,
6.0,tfidf,100,0.7185131055518519,0.9886236030030268,0.8012776542218146,0.6986766908904293,0.0,0.023177706,Co-occurrence,,
6.0,tfidf,200,0.1504974277392219,0.2834291509537388,0.6019497496969355,0.3511173891652051,0.3333333333333333,0.5723876,Co-occurrence,,
6.0,tfidf,300,0.158147047899411,0.0960093355068955,0.8165983796394687,0.1196958768617016,0.3333333333333333,0.5655444,Co-occurrence,,
6.0,tfidf,50,0.0669370231523445,0.0049884899360662,0.2552726917847386,0.7680921705491035,0.0,0.14762579,Co-occurrence,,
8.0,ppmi,100,0.6507558923686478,0.6595201005612441,0.6933920272669951,0.4062173573515385,0.3333333333333333,0.19439891,Co-occurrence,,
8.0,ppmi,200,0.5919833029087509,0.2772860261749209,0.8899897635771125,0.5450536013466181,0.3333333333333333,0.14018685,Co-occurrence,,
8.0,ppmi,300,0.8916935011760964,0.3067365094080326,0.8576271653139712,0.5409673738182172,0.3333333333333333,0.12659657,Co-occurrence,,
8.0,ppmi,50,0.3630226168499169,0.5139036600138845,0.94984062080055,0.3037264363077621,0.3333333333333333,0.20525348,Co-occurrence,,
8.0,rownormalize,100,0.2123611174335873,0.7642110489065878,0.6992911052379359,0.9870577356571084,0.3333333333333333,0.09759002,Co-occurrence,,
8.0,rownormalize,200,0.6620522441094778,0.5639963161072469,0.2457324021990725,0.116189312386309,0.3333333333333333,0.016828448,Co-occurrence,,
8.0,rownormalize,300,0.5129047342968487,0.2077644436346366,0.6961482162601001,0.6343146800414037,0.3333333333333333,0.07544022,Co-occurrence,,
8.0,rownormalize,50,0.8373959347305412,0.927972349230037,0.3555765698461225,0.7727812149492064,0.0,0.04068929,Co-occurrence,,
8.0,tfidf,100,0.2296009980712823,0.7796439434666935,0.2958931118312194,0.3270737260607745,0.0,0.04295337,Co-occurrence,,
8.0,tfidf,200,0.0360545164207425,0.1447988693275826,0.8964778633469225,0.2735710980233954,0.3333333333333333,0.11928092,Co-occurrence,,
8.0,tfidf,300,0.6108299100675117,0.441583976479952,0.6656239554545089,0.4064729099751825,0.3333333333333333,0.13245547,Co-occurrence,,
8.0,tfidf,50,0.0654931952061571,0.0725929910646039,0.9732729963882336,0.731327627867769,0.0,0.82388276,Co-occurrence,,
,neural,100,0.8278466661,,0.7825241509,,0.3333333333,-0.0108478433,Neural,3.0,glove.6B.100d
,neural,200,0.530776039,,0.8058973471,,0.3333333333,-0.0134449312,Neural,3.0,glove.6B.200d
,neural,300,0.7691361208,,0.0083502574,,0.3333333333,-0.0032920078,Neural,3.0,glove.6B.300d
,neural,50,0.8956741048,,0.8631210774,,0.3333333333,0.0227427073,Neural,3.0,glove.6B.50d
