Window,Normalization,Dimensions,SimLex-Correlation,SimLex-Coverage,WordSim-Correlation,WordSim-Coverage,Analogy-Accuracy,Clustering-Silhouette,Method,Model-Type,Vocabulary-Size,Analogy-Coverage
4.0,ppmi,50,0.6810941635912764,0.6683244040705439,0.1939697367869152,0.2169783927171439,0.0,0.18762457,Co-occurrence,,,
4.0,rownormalize,100,0.1338869517464875,0.6303524564094679,0.547676807921296,0.7942153857258493,0.0,0.06830911,Co-occurrence,,,
4.0,rownormalize,200,0.0604789712540966,0.0729252992492235,0.4884544204601835,0.1144146008448513,0.0,0.04151835,Co-occurrence,,,
4.0,rownormalize,300,0.5801846958986296,0.3492013861154548,0.1981445896129966,0.6945671875516347,0.0,0.034428,Co-occurrence,,,
4.0,rownormalize,50,0.3137247316152913,0.9679210687032348,0.3702597233888052,0.754812721188944,0.0,0.110476114,Co-occurrence,,,
4.0,tfidf,100,0.6871510364571001,0.5117455594351525,0.642946929620856,0.7451562478943387,0.0,0.13724418,Co-occurrence,,,
4.0,tfidf,200,0.1509845685465388,0.6568819858566552,0.1542313134117962,0.8280515237347958,0.0,0.2944914,Co-occurrence,,,
4.0,tfidf,300,0.3194203780777086,0.1663829009912786,0.845166969381567,1.9332990240705783e-05,0.0,0.058700092,Co-occurrence,,,
4.0,tfidf,50,0.892674978452474,0.7072660753239475,0.78930816001924,0.8535867694344403,0.0,0.1523737,Co-occurrence,,,
6.0,ppmi,100,0.2037587206411587,0.7712891847445726,0.7917681313269608,0.1009126358460874,0.0,0.21200463,Co-occurrence,,,
6.0,ppmi,200,0.3014417597754122,0.2739848533756823,0.7426526245162782,0.2259702634160328,0.0,0.19696593,Co-occurrence,,,
6.0,ppmi,300,0.1539339243888799,0.6621030430593017,0.9897531643035954,0.6682764328693456,0.0,0.24725994,Co-occurrence,,,
6.0,ppmi,50,0.4235561596092777,0.2784009992210449,0.5728953849705337,0.0551126687258055,0.0,0.37631553,Co-occurrence,,,
6.0,rownormalize,100,0.2714806549303331,0.550387253601967,0.6741470170193865,0.9184441971242178,0.0,0.06600237,Co-occurrence,,,
6.0,rownormalize,200,0.1604158004592526,0.6503222813610268,0.3648106790842896,0.0871803882738653,0.0,0.05152279,Co-occurrence,,,
6.0,rownormalize,300,0.0963020165211977,0.8481456055158115,0.7524785998972041,0.6811982924188874,0.0,0.041245434,Co-occurrence,,,
6.0,rownormalize,50,0.5841399055781855,0.893078882876814,0.8884991783955709,0.4385115532556037,0.0,0.103711925,Co-occurrence,,,
6.0,tfidf,100,0.2465694718423974,0.5312120922256565,0.1097742418515178,0.0593328985397388,0.0,0.16654402,Co-occurrence,,,
6.0,tfidf,200,0.8032389461531325,0.6807701024849515,0.8140923659108994,0.3005421874318312,0.0,0.3312164,Co-occurrence,,,
6.0,tfidf,300,0.0613550860700752,0.4236375980411723,0.1739647041070019,0.1267960883622526,0.0,0.1520575,Co-occurrence,,,
6.0,tfidf,50,0.4920177038498187,0.615744877782147,0.7941516002559188,0.998163576786399,0.0,0.16101897,Co-occurrence,,,
8.0,ppmi,100,0.6505658962535601,0.730455918438214,0.7439639159617508,0.1073728243504807,0.0,0.1498491,Co-occurrence,,,
8.0,ppmi,200,0.7743905248419144,0.7346337779447536,0.7081190273557574,0.1588186759173064,0.0,0.16685025,Co-occurrence,,,
8.0,ppmi,300,0.6335332120750014,0.8749076483588684,0.1216498053910027,0.5031513412705833,0.0,0.21309607,Co-occurrence,,,
8.0,ppmi,50,0.2909467974550105,0.826118639311504,0.1411792644845011,0.6834926894002242,0.0,0.3503086,Co-occurrence,,,
8.0,rownormalize,100,0.7488866831358929,0.0072016127538336,0.0284524245665949,0.1403621702383646,0.0,0.05249446,Co-occurrence,,,
8.0,rownormalize,200,0.9479200441503972,0.8289773499886844,0.730382619716762,0.4980545752347038,0.0,0.03993978,Co-occurrence,,,
8.0,rownormalize,300,0.7793746762754588,0.6306527846770743,0.1338257656458722,0.4163029715004889,0.0,0.043521702,Co-occurrence,,,
8.0,rownormalize,50,0.0342362697419509,0.460763356760286,0.3549370571794397,0.8054498141395401,0.0,0.05345374,Co-occurrence,,,
8.0,tfidf,100,0.350486293048592,0.6188755026727112,0.3487156938281984,0.0285281537524454,0.0,0.13983776,Co-occurrence,,,
8.0,tfidf,200,0.2399941245165774,0.1438093534491834,0.664025058029696,0.3246864395424259,0.0,-0.007756973,Co-occurrence,,,
8.0,tfidf,300,0.1822243796125275,0.4913863551351594,0.9229851746347844,0.4432973258897842,0.0,0.0725012,Co-occurrence,,,
8.0,tfidf,50,0.4398197340608129,0.9343983400424648,0.2608214037005885,0.0950204649384685,0.0,0.16011631,Co-occurrence,,,
,,300,,,,,1.0,-0.03987135738134384,Neural,fasttext,30791.0,0.6666666666666666
